Topic,tokens,document_entropy,word-length,coherence,uniform_dist,corpus_dist,eff_num_words,token-doc-diff,rank_1_docs,allocation_ratio,allocation_count
36,1895.0000,4.0690,7.1000,0.0000,NaN,NaN,21.9633,NaN,0.0567,0.0000,0.0071
37,1832.0000,4.4073,7.3000,-153.9424,NaN,NaN,16.1027,0.4793,0.0217,0.0000,0.0000
38,1727.0000,1.4480,5.7000,-128.3523,NaN,NaN,65.6496,0.5700,0.1000,0.0110,0.0733
39,1723.0000,-1.2499,6.2500,-55.3814,NaN,NaN,15.9348,0.5955,0.0618,0.0000,0.0000
40,1638.0000,7.1919,6.9500,0.0000,NaN,NaN,36.3300,NaN,0.0000,0.0000,0.0000
41,1632.0000,5.9456,7.5000,-83.9155,NaN,NaN,23.8197,0.6126,0.0476,0.0000,0.0000
42,1605.0000,-14.1722,5.5000,-53.1804,NaN,NaN,30.6345,0.5783,0.1254,0.0000,0.0000
43,1515.0000,3.3093,6.3000,-79.7281,NaN,NaN,29.9009,0.6185,0.2206,0.0000,0.0294
44,1496.0000,-26.0234,5.7500,0.0000,NaN,NaN,12.1378,NaN,0.0920,0.0136,0.0351
45,1423.0000,6.6900,6.8500,0.0000,NaN,NaN,45.9595,NaN,0.0500,0.0000,0.0000
46,1320.0000,-3.0140,6.4000,-79.6944,NaN,NaN,31.6708,0.6194,0.0818,0.0000,0.0000
47,1285.0000,6.4345,5.9000,0.0000,NaN,NaN,65.2529,NaN,0.0000,0.0000,0.0000
48,1282.0000,4.3565,6.5000,-70.9091,NaN,NaN,51.2257,0.6106,0.0923,0.0000,0.0154
49,1256.0000,5.7948,6.2000,0.0000,NaN,NaN,16.4701,NaN,0.1429,0.0000,0.0000
50,1145.0000,5.7554,6.3500,0.0000,NaN,NaN,37.0755,NaN,0.0286,0.0000,0.0000
51,1098.0000,5.1610,7.1500,0.0000,NaN,NaN,47.5884,NaN,0.0000,0.0000,0.0000
52,1088.0000,4.3780,6.9500,-89.8138,NaN,NaN,42.6851,0.5892,0.1053,0.0000,0.0000
53,1055.0000,6.2322,5.5000,0.0000,NaN,NaN,17.9038,NaN,0.0588,0.0000,0.0000
54,1032.0000,1.5192,6.7000,0.0000,NaN,NaN,38.7704,NaN,0.1045,0.0000,0.0000
55,1025.0000,4.6754,6.5000,0.0000,NaN,NaN,48.0505,NaN,0.0299,0.0000,0.0000
56,1014.0000,4.2431,6.6000,0.0000,NaN,NaN,25.7978,NaN,0.0517,0.0000,0.0000
57,1013.0000,0.3603,6.2000,0.0000,NaN,NaN,11.8582,NaN,0.0722,0.0000,0.0000
58,1011.0000,3.4653,6.8000,-26.2100,NaN,NaN,47.4985,0.6166,0.0000,0.0000,0.0000
59,999.0000,3.9821,6.6500,0.0000,NaN,NaN,43.3329,NaN,0.0870,0.0000,0.0217
60,941.0000,3.3714,6.4000,0.0000,NaN,NaN,31.9818,NaN,0.0000,0.0000,0.0000
61,933.0000,4.8452,6.8000,0.0000,NaN,NaN,36.7963,NaN,0.0000,0.0000,0.0000
62,933.0000,-3.4092,7.0500,0.0000,NaN,NaN,45.5825,0.6192,0.1188,0.0000,0.0297
63,907.0000,2.2725,5.6000,0.0000,NaN,NaN,8.8746,NaN,0.0476,0.0000,0.0000
64,875.0000,-0.0116,6.7000,-49.6585,NaN,NaN,21.4143,0.5971,0.0949,0.0000,0.0000
65,867.0000,5.6647,5.2000,0.0000,NaN,NaN,25.4939,NaN,0.0870,0.0000,0.0000
66,862.0000,2.8378,7.1000,0.0000,NaN,NaN,30.6536,NaN,0.1500,0.0000,0.0500
67,844.0000,5.8684,7.2500,0.0000,NaN,NaN,18.6202,NaN,0.0000,0.0000,0.0000
68,832.0000,5.8974,7.1500,0.0000,NaN,NaN,34.4082,NaN,0.0000,0.0000,0.0000
69,828.0000,2.8738,5.9500,-55.3814,NaN,NaN,31.0331,0.5925,0.0390,0.0000,0.0000
70,818.0000,5.6870,6.3000,0.0000,NaN,NaN,21.7814,NaN,0.0370,0.0000,0.0000
71,798.0000,5.3716,7.4500,-51.1888,NaN,NaN,26.8898,0.6200,0.0571,0.0000,0.0000
72,797.0000,-1.6099,7.8000,-67.3021,NaN,NaN,24.9111,0.5944,0.0479,0.0000,0.0000
73,787.0000,6.2823,5.2500,0.0000,NaN,NaN,29.3609,NaN,0.0000,0.0000,0.0000
74,779.0000,3.8534,6.9500,0.0000,NaN,NaN,41.1948,NaN,0.0175,0.0000,0.0000
75,773.0000,3.6110,6.3000,0.0000,NaN,NaN,15.9985,NaN,0.0405,0.0000,0.0000
76,773.0000,5.9988,6.3500,0.0000,NaN,NaN,33.0730,NaN,0.0000,0.0000,0.0000
77,766.0000,1.4936,6.3500,-9.2302,NaN,NaN,29.7725,0.6322,0.0000,0.0000,0.0000
78,763.0000,5.1224,5.9000,0.0000,NaN,NaN,16.3223,NaN,0.0833,0.0000,0.0000
79,758.0000,2.1916,6.3000,-26.5165,NaN,NaN,17.6117,0.6388,0.0469,0.0000,0.0000
80,750.0000,3.1086,6.7500,0.0000,NaN,NaN,22.3872,NaN,0.0217,0.0000,0.0000
81,744.0000,1.4130,7.1000,0.0000,NaN,NaN,15.0729,NaN,0.0381,0.0000,0.0095
82,729.0000,-1.6435,5.6500,-144.3764,NaN,NaN,22.0433,0.4983,0.0385,0.0000,0.0000
83,714.0000,-21.3203,6.6000,-39.9498,NaN,NaN,19.0749,0.5820,0.0525,0.0000,0.0000
84,708.0000,-10.8801,7.5000,0.0000,NaN,NaN,29.6782,NaN,0.0763,0.0000,0.0085
85,702.0000,-7.7292,6.1000,0.0000,NaN,NaN,30.2260,NaN,0.0373,0.0000,0.0075
86,691.0000,4.9215,5.7000,0.0000,NaN,NaN,22.1374,NaN,0.0833,0.0000,0.0000
87,690.0000,5.1569,5.8000,0.0000,NaN,NaN,26.8437,NaN,0.0000,0.0000,0.0000
88,681.0000,3.0424,7.7500,0.0000,NaN,NaN,37.1455,NaN,0.0119,0.0000,0.0000
89,661.0000,5.8819,7.2000,0.0000,NaN,NaN,25.7270,NaN,0.0000,0.0000,0.0000
90,646.0000,2.9812,7.8000,-9.2302,NaN,NaN,37.3270,0.6191,0.0426,0.0000,0.0000
91,641.0000,2.2323,6.6000,0.0000,NaN,NaN,33.5167,NaN,0.0833,0.0000,0.0208
92,630.0000,1.4137,6.9000,0.0000,NaN,NaN,28.5211,NaN,0.0426,0.0000,0.0000
93,626.0000,6.0339,6.9000,0.0000,NaN,NaN,34.7223,NaN,0.0000,0.0000,0.0000
94,599.0000,-19.1020,7.1500,-534.2981,NaN,NaN,20.8642,0.2957,0.0385,0.0000,0.0000
95,592.0000,-1.0329,6.4500,-174.5455,NaN,NaN,19.4745,0.4898,0.0800,0.0000,0.0400
96,553.0000,5.6048,6.3000,0.0000,NaN,NaN,20.9186,NaN,0.0000,0.0000,0.0000
97,541.0000,-4.4937,6.6500,-95.9789,NaN,NaN,24.4084,0.5791,0.0201,0.0000,0.0000
98,532.0000,4.2278,8.2500,0.0000,NaN,NaN,19.0537,NaN,0.0323,0.0000,0.0000
99,518.0000,0.2455,6.2500,-84.2770,NaN,NaN,33.2084,0.5470,0.0222,0.0000,0.0000
100,511.0000,5.4577,7.7500,0.0000,NaN,NaN,18.9672,NaN,0.0000,0.0000,0.0000
101,508.0000,-4.1114,6.7000,-74.1924,NaN,NaN,25.5762,0.6016,0.0828,0.0000,0.0000
102,506.0000,5.4323,7.2000,0.0000,NaN,NaN,18.0358,NaN,0.0000,0.0000,0.0000
103,504.0000,4.7088,7.3500,0.0000,NaN,NaN,24.5426,NaN,0.0000,0.0000,0.0000
104,486.0000,4.4345,7.4500,0.0000,NaN,NaN,23.8871,NaN,0.0000,0.0000,0.0000
105,481.0000,5.3715,7.0000,-5.7071,NaN,NaN,22.6093,0.6359,0.0000,0.0000,0.0000
106,475.0000,5.2967,6.8000,0.0000,NaN,NaN,10.1227,NaN,0.0000,0.0000,0.0000
107,473.0000,0.6953,6.0000,-106.7687,NaN,NaN,16.2322,0.5587,0.2059,0.0000,0.0000
108,472.0000,3.9209,6.7500,0.0000,NaN,NaN,11.3318,NaN,0.1111,0.0000,0.0000
109,451.0000,5.4862,7.3500,0.0000,NaN,NaN,17.6855,NaN,0.0000,0.0000,0.0000
110,446.0000,3.9328,5.6500,0.0000,NaN,NaN,25.7463,NaN,0.0000,0.0000,0.0000
111,436.0000,4.9079,6.6500,0.0000,NaN,NaN,25.4207,NaN,0.0526,0.0000,0.0000
112,427.0000,4.6858,6.3000,-95.9034,NaN,NaN,27.1121,0.5668,0.0000,0.0000,0.0000
