Topic,tokens,document_entropy,word-length,coherence,uniform_dist,corpus_dist,eff_num_words,token-doc-diff,rank_1_docs,allocation_ratio,allocation_count
0,45235668.0000,13.7092,7.3000,-372.4152,NaN,NaN,665.0886,0.0057,0.4760,0.0334,0.2287
1,36982433.0000,14.8173,6.2500,-685.2738,NaN,NaN,417.5837,0.3535,0.4108,0.0284,0.1978
2,30075818.0000,15.4669,6.1500,-1342.9133,NaN,NaN,277.5721,0.2870,0.3061,0.0071,0.0950
3,26600528.0000,13.6303,6.5500,-677.1807,NaN,NaN,669.3713,0.0562,0.4913,0.0407,0.2480
4,25145099.0000,12.2649,6.3500,-888.3120,NaN,NaN,137.9067,0.4389,0.4576,0.0285,0.2424
5,24763176.0000,13.8601,7.4500,-657.5127,NaN,NaN,258.7420,0.3814,0.3907,0.0163,0.1669
6,24729593.0000,12.9939,6.8500,-1161.7250,NaN,NaN,150.3703,0.3688,0.3476,0.0107,0.1437
7,24583837.0000,14.1665,6.6500,-995.0654,NaN,NaN,76.9281,0.4356,0.3832,0.0350,0.1896
8,24085489.0000,13.0507,6.2000,-313.9822,NaN,NaN,116.9889,0.6215,0.4535,0.0191,0.1663
9,23441202.0000,13.3491,7.0500,-301.1058,NaN,NaN,243.3324,0.4939,0.3951,0.0461,0.2226
10,23215069.0000,13.4996,6.4500,-1057.3030,NaN,NaN,303.2236,0.2439,0.3583,0.0007,0.0509
11,22997466.0000,12.8473,6.8500,-966.8001,NaN,NaN,587.0165,0.3479,0.2968,0.0085,0.1012
12,22818963.0000,12.7891,7.7000,-1269.5716,NaN,NaN,219.1360,0.3456,0.3640,0.0195,0.1499
13,20869523.0000,14.8606,6.9000,-794.0574,NaN,NaN,284.3735,0.3526,0.2364,0.0037,0.0626
14,20590572.0000,12.4973,7.2000,-1039.9095,NaN,NaN,732.4082,0.3146,0.3399,0.0206,0.1404
15,20572160.0000,14.2510,7.6500,-1154.0957,NaN,NaN,389.6367,0.3086,0.3430,0.0081,0.1062
16,19393773.0000,13.0537,7.1000,-1159.3796,NaN,NaN,741.8095,0.2348,0.4397,0.0302,0.2007
17,18793683.0000,14.9737,6.6000,-989.8036,NaN,NaN,233.7503,0.2582,0.2857,0.0121,0.1011
18,18446460.0000,12.5701,6.1000,-341.6650,NaN,NaN,570.6240,0.5010,0.3213,0.0078,0.1113
19,18294789.0000,12.5103,6.2500,-842.5880,NaN,NaN,292.7259,0.4053,0.4459,0.0344,0.2378
20,18129591.0000,14.4232,5.9000,-694.2122,NaN,NaN,188.3371,0.1655,0.2575,0.0082,0.0911
21,17565300.0000,11.5080,7.1000,-576.5246,NaN,NaN,191.0229,0.5489,0.3957,0.0245,0.1994
22,15863681.0000,7.4325,6.4500,-860.4898,NaN,NaN,310.0407,0.4249,0.4020,0.0231,0.1962
23,15576536.0000,13.7812,7.2000,-891.9500,NaN,NaN,296.3556,0.3757,0.2583,0.0069,0.0857
24,14746150.0000,14.4952,6.2500,-705.3304,NaN,NaN,1059.5534,0.2836,0.1828,0.0012,0.0353
25,14595011.0000,11.5259,8.1000,-838.8691,NaN,NaN,323.8016,0.3778,0.3216,0.0151,0.1352
26,14585933.0000,9.9146,6.2000,-982.3957,NaN,NaN,138.6436,0.2239,0.3454,0.0139,0.1425
27,14442427.0000,12.6725,7.1000,-595.8789,NaN,NaN,319.2224,0.5062,0.3234,0.0134,0.1253
28,14049480.0000,13.1593,6.5000,-1034.4657,NaN,NaN,295.8855,0.2333,0.2714,0.0169,0.1072
29,13278774.0000,12.6480,6.5500,-497.0550,NaN,NaN,369.5032,0.0093,0.2716,0.0142,0.1103
30,12444624.0000,13.0798,6.4000,-1008.0146,NaN,NaN,126.7122,0.3359,0.2711,0.0023,0.0695
31,12305363.0000,11.0175,5.2000,-670.5891,NaN,NaN,249.3410,0.2677,0.2608,0.0032,0.0634
32,11780000.0000,12.4548,6.5500,-1075.5891,NaN,NaN,241.5716,0.3233,0.2623,0.0022,0.0728
33,11675979.0000,11.2569,6.7000,-768.6991,NaN,NaN,150.2998,0.3779,0.3677,0.0068,0.1401
34,11369952.0000,11.5647,6.1000,-990.9311,NaN,NaN,175.8554,0.3162,0.2879,0.0129,0.1097
35,11315336.0000,14.4254,7.0000,-830.6889,NaN,NaN,290.7825,0.3684,0.1836,0.0010,0.0345
36,10288662.0000,12.4011,6.8000,-421.1442,NaN,NaN,180.8517,0.0033,0.2688,0.0129,0.1029
37,9109410.0000,10.2950,6.0000,-426.6481,NaN,NaN,397.7248,0.5124,0.2488,0.0022,0.0593
38,8759113.0000,14.3946,7.2500,-710.9129,NaN,NaN,251.4336,0.5128,0.3226,0.0003,0.0409
39,7499395.0000,6.6704,7.0500,-814.9558,NaN,NaN,298.7657,0.3533,0.3377,0.0081,0.1256
40,6075158.0000,15.3634,6.6000,-176.7028,NaN,NaN,141.4539,0.5647,0.0206,0.0000,0.0004
41,4499052.0000,12.7500,3.3500,-716.8544,NaN,NaN,307.2203,0.0285,0.0040,0.0000,0.0000
42,4135665.0000,8.7217,7.3000,-722.4752,NaN,NaN,277.4603,0.1315,0.2400,0.0035,0.0662
43,1146689.0000,13.9522,5.7000,0.0000,NaN,NaN,73.0776,NaN,0.0000,0.0000,0.0000
44,969657.0000,13.7826,6.0000,0.0000,NaN,NaN,394.0402,NaN,0.0127,0.0000,0.0000
45,591782.0000,-93.4186,6.9000,-389.5478,NaN,NaN,104.4086,0.5713,0.4032,0.0313,0.2052
46,773.0000,-4091.8905,6.2000,-361.0147,NaN,NaN,33.7111,0.4626,0.1501,0.0001,0.0238
47,98.0000,-36407.8547,6.2500,-132.9755,NaN,NaN,10.0460,0.6066,0.1091,0.0000,0.0091
48,32.0000,3.4657,7.3500,0.0000,NaN,NaN,6.0235,NaN,NaN,NaN,NaN
49,28.0000,2.6260,7.7500,0.0000,NaN,NaN,2.9474,NaN,0.0000,0.0000,0.0000
50,10.0000,-7.0276,8.0000,0.0000,NaN,NaN,1.2195,NaN,0.0000,0.0000,0.0000
51,9.0000,2.1972,7.4500,0.0000,NaN,NaN,2.7931,NaN,NaN,NaN,NaN
52,1.0000,-23.0259,8.0500,0.0000,NaN,NaN,1.0000,NaN,0.0000,0.0000,0.0000
53,0.0000,-Infinity,7.9500,0.0000,NaN,NaN,NaN,0.0000,0.0000,0.0000,0.0000
54,0.0000,NaN,7.9500,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
55,0.0000,NaN,7.9500,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
56,0.0000,NaN,7.9500,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
57,0.0000,NaN,7.9500,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
58,0.0000,NaN,7.9500,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
59,0.0000,NaN,7.9500,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
60,0.0000,NaN,7.9500,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
61,0.0000,NaN,7.9500,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
62,0.0000,NaN,7.9500,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
63,0.0000,NaN,7.9500,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
64,0.0000,NaN,7.9500,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
65,0.0000,NaN,7.9500,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
66,0.0000,NaN,7.9500,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
67,0.0000,NaN,7.9500,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
68,0.0000,NaN,7.9500,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
69,0.0000,NaN,7.9500,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
70,0.0000,NaN,7.9500,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
71,0.0000,NaN,7.9500,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
72,0.0000,NaN,7.9500,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
73,0.0000,NaN,7.9500,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
74,0.0000,NaN,7.9500,0.0000,NaN,NaN,NaN,0.0000,NaN,NaN,NaN
