Topic,tokens,document_entropy,word-length,coherence,uniform_dist,corpus_dist,eff_num_words,token-doc-diff,rank_1_docs,allocation_ratio,allocation_count
25,4049.0000,4.5406,5.7500,0.0000,NaN,NaN,26.3474,NaN,0.1401,0.0000,0.0000
26,3973.0000,7.1055,6.5000,0.0000,NaN,NaN,14.0512,NaN,0.1143,0.0000,0.0000
27,3762.0000,-10.7584,6.9000,-520.4287,NaN,NaN,76.3786,0.4187,0.2761,0.0000,0.0231
28,3599.0000,-0.0770,7.8500,-260.1969,NaN,NaN,61.1209,0.5069,0.1433,0.0000,0.0084
29,3472.0000,3.7647,6.6500,-372.1221,NaN,NaN,11.8930,0.4480,0.2080,0.0000,0.0752
30,3452.0000,7.2899,6.8500,-216.9310,NaN,NaN,33.6908,0.4854,0.1786,0.0000,0.0179
31,3412.0000,4.1615,6.4000,-144.0857,NaN,NaN,30.3172,0.5210,0.1672,0.0000,0.0139
32,3384.0000,7.2502,5.8500,-78.2445,NaN,NaN,32.9958,0.6089,0.1077,0.0000,0.0000
33,3358.0000,1.8706,6.5500,0.0000,NaN,NaN,18.0646,NaN,0.1425,0.0000,0.0000
34,3311.0000,7.6034,7.0000,0.0000,NaN,NaN,11.7214,NaN,0.0794,0.0000,0.0000
35,3305.0000,6.1343,6.8500,0.0000,NaN,NaN,77.2311,NaN,0.1449,0.0000,0.0145
36,3203.0000,7.5276,7.7500,-105.0596,NaN,NaN,84.0320,0.5712,0.1020,0.0000,0.0000
37,3182.0000,3.2534,6.0500,-16.8241,NaN,NaN,27.9806,0.6531,0.1034,0.0000,0.0000
38,3152.0000,7.1316,3.6500,-285.7654,NaN,NaN,5.6145,0.5061,0.0549,0.0000,0.0000
39,3133.0000,4.8256,6.6500,-406.5237,NaN,NaN,39.9693,0.3512,0.1804,0.0000,0.0000
40,3122.0000,6.1700,6.5000,-56.2764,NaN,NaN,24.2831,0.6415,0.1933,0.0000,0.0084
41,3038.0000,6.3052,7.9500,-110.7629,NaN,NaN,13.6683,0.5716,0.0977,0.0000,0.0000
42,3009.0000,6.8722,8.4500,-14.0079,NaN,NaN,53.6618,0.6349,0.1039,0.0000,0.0000
43,2833.0000,7.2412,6.7500,-34.5438,NaN,NaN,22.4453,0.6440,0.2162,0.0000,0.0000
44,2803.0000,7.1075,7.7000,-13.8454,NaN,NaN,7.0939,0.6593,0.0875,0.0000,0.0000
45,2766.0000,3.7537,8.0500,-167.7940,NaN,NaN,22.7085,0.4884,0.2732,0.0000,0.0055
46,2664.0000,7.0887,9.4000,0.0000,NaN,NaN,35.7876,NaN,0.1154,0.0000,0.0000
47,2491.0000,3.6509,6.2000,-101.4554,NaN,NaN,18.2553,0.5688,0.2857,0.0000,0.0110
48,2477.0000,6.7685,5.9000,0.0000,NaN,NaN,38.0940,NaN,0.0238,0.0000,0.0000
49,2441.0000,2.8995,5.4500,-227.4941,NaN,NaN,46.6406,0.4577,0.3092,0.0000,0.0592
50,2335.0000,6.8136,6.4000,0.0000,NaN,NaN,42.6271,NaN,0.1373,0.0000,0.0000
51,2332.0000,5.8608,7.9000,0.0000,NaN,NaN,24.3832,NaN,0.1188,0.0000,0.0000
52,2283.0000,6.6030,6.4000,0.0000,NaN,NaN,14.2480,NaN,0.0759,0.0000,0.0000
53,2166.0000,1.2701,7.0000,-555.3361,NaN,NaN,32.6610,0.2619,0.3186,0.0000,0.0265
54,2061.0000,5.7200,7.1000,-28.6836,NaN,NaN,18.3667,0.6480,0.2687,0.0000,0.0299
55,2048.0000,3.1379,7.3000,-249.3794,NaN,NaN,20.1415,0.4671,0.1460,0.0000,0.0000
56,2040.0000,7.0363,7.9500,-27.6907,NaN,NaN,32.9501,0.6294,0.0750,0.0000,0.0000
57,2025.0000,0.7247,4.9000,-424.4751,NaN,NaN,25.0823,0.3794,0.2423,0.0000,0.0052
58,1980.0000,6.9313,7.7000,0.0000,NaN,NaN,53.6629,NaN,0.0612,0.0000,0.0000
59,1948.0000,4.1796,6.2000,-36.2247,NaN,NaN,25.1748,0.6449,0.0896,0.0000,0.0050
60,1937.0000,2.4550,6.9500,-429.9867,NaN,NaN,72.0272,0.3982,0.1255,0.0000,0.0040
61,1913.0000,4.3002,6.7500,-304.3288,NaN,NaN,31.7431,0.0131,0.2016,0.0000,0.0161
62,1864.0000,7.4350,5.4000,0.0000,NaN,NaN,21.5649,NaN,0.0000,0.0000,0.0000
63,1787.0000,-5.8592,6.9500,-226.6899,NaN,NaN,37.5430,0.5006,0.0882,0.0000,0.0088
64,1777.0000,-2.1325,8.0500,-163.2924,NaN,NaN,50.6103,0.4835,0.2691,0.0000,0.0314
65,1749.0000,5.6868,7.7500,-89.9532,NaN,NaN,59.5542,0.5886,0.1340,0.0000,0.0000
66,1749.0000,4.1826,5.5000,0.0000,NaN,NaN,18.8243,NaN,0.0756,0.0000,0.0420
67,1710.0000,6.0221,5.3000,0.0000,NaN,NaN,10.1025,NaN,0.0600,0.0000,0.0100
68,1699.0000,5.6963,6.8500,-62.7782,NaN,NaN,21.5732,0.6231,0.0417,0.0000,0.0000
69,1698.0000,-0.0130,6.3000,0.0000,NaN,NaN,19.2965,NaN,0.1915,0.0000,0.0383
70,1694.0000,5.8740,5.5500,-203.6895,NaN,NaN,37.8780,0.4572,0.4194,0.0000,0.0000
71,1611.0000,4.9608,7.9500,-133.9015,NaN,NaN,38.0897,0.5120,0.1325,0.0000,0.0000
72,1559.0000,6.3504,7.3500,-118.0541,NaN,NaN,28.2191,0.5653,0.0274,0.0000,0.0000
73,1555.0000,4.2473,6.4500,-113.4546,NaN,NaN,35.5503,0.5593,0.1944,0.0000,0.0278
74,1550.0000,2.4264,8.0500,-213.6134,NaN,NaN,45.3131,0.5120,0.1805,0.0000,0.0301
75,1503.0000,4.7061,7.1500,-321.6192,NaN,NaN,24.6141,0.3329,0.0380,0.0000,0.0000
76,1492.0000,1.6949,5.4500,-204.2725,NaN,NaN,19.8225,0.5036,0.2821,0.0000,0.0171
77,1487.0000,0.7387,6.6500,-93.3132,NaN,NaN,61.8215,0.5604,0.0569,0.0000,0.0030
78,1457.0000,5.1734,7.8500,0.0000,NaN,NaN,16.9664,NaN,0.1169,0.0000,0.0000
79,1386.0000,2.1910,5.3000,0.0000,NaN,NaN,29.2719,NaN,0.1667,0.0000,0.0500
80,1375.0000,4.4767,7.9000,-53.4869,NaN,NaN,35.8419,0.6109,0.0394,0.0000,0.0000
81,1374.0000,4.4534,5.1500,0.0000,NaN,NaN,25.5803,NaN,0.0246,0.0000,0.0000
82,1354.0000,6.4205,6.3000,0.0000,NaN,NaN,16.1182,NaN,0.0000,0.0000,0.0000
83,1344.0000,6.6340,7.1000,-118.1155,NaN,NaN,34.4681,0.4660,0.1000,0.0000,0.0000
84,1284.0000,2.3798,6.5500,-103.2974,NaN,NaN,34.0168,0.5844,0.1308,0.0000,0.0077
85,1254.0000,-3.4485,5.7000,-81.1900,NaN,NaN,25.9132,0.6238,0.1867,0.0000,0.0083
86,1228.0000,4.4054,6.8500,0.0000,NaN,NaN,26.2761,NaN,0.1311,0.0000,0.0164
87,1216.0000,4.7223,6.8500,-129.3594,NaN,NaN,42.2860,0.5038,0.0496,0.0000,0.0000
88,1209.0000,-8.1577,6.2000,-13.8454,NaN,NaN,19.2943,0.6428,0.2178,0.0000,0.0092
89,1168.0000,5.7988,7.1000,-138.9438,NaN,NaN,19.5241,0.4281,0.0943,0.0000,0.0000
90,1156.0000,4.5249,6.1500,-87.7666,NaN,NaN,28.4496,0.6039,0.1864,0.0000,0.0339
