Topic,tokens,document_entropy,word-length,coherence,uniform_dist,corpus_dist,eff_num_words,token-doc-diff,rank_1_docs,allocation_ratio,allocation_count
83,3622.0000,6.3955,8.3000,-62.7782,NaN,NaN,98.6382,0.6031,0.0513,0.0000,0.0000
84,3615.0000,3.8357,6.4500,0.0000,NaN,NaN,49.9617,NaN,0.0000,0.0000,0.0000
85,3615.0000,6.8481,6.4500,-100.7628,NaN,NaN,19.8840,0.4038,0.2500,0.0000,0.0000
86,3533.0000,6.0187,8.0500,-203.6165,NaN,NaN,60.7297,0.4554,0.1154,0.0000,0.0000
87,3531.0000,-3.0214,7.5000,-241.3893,NaN,NaN,8.3102,0.5413,0.1019,0.0000,0.0093
88,3472.0000,5.6786,8.1000,-97.0209,NaN,NaN,19.1474,0.4917,0.1071,0.0000,0.0357
89,3429.0000,3.7206,7.1000,-53.4869,NaN,NaN,29.2501,0.6304,0.1304,0.0000,0.0000
90,3426.0000,5.5712,7.1000,-87.8603,NaN,NaN,25.1731,0.5713,0.1304,0.0000,0.0435
91,3415.0000,1.9587,7.6000,0.0000,NaN,NaN,48.7113,NaN,0.0000,0.0000,0.0000
92,3409.0000,-13.4935,6.8000,0.0000,NaN,NaN,19.4780,NaN,0.0636,0.0000,0.0000
93,3403.0000,6.8138,6.8500,-88.3755,NaN,NaN,65.0230,0.5140,0.1538,0.0000,0.0769
94,3397.0000,5.1531,6.3000,-30.4056,NaN,NaN,53.1787,0.6272,0.0500,0.0000,0.0000
95,3383.0000,3.7076,6.8500,-70.3845,NaN,NaN,6.9569,0.6348,0.0862,0.0000,0.0172
96,3372.0000,3.3289,6.4000,-109.7083,NaN,NaN,55.4469,0.5728,0.1379,0.0000,0.1034
97,3369.0000,6.8969,6.3500,-34.2427,NaN,NaN,50.2773,0.6247,0.1250,0.0000,0.0000
98,3368.0000,7.0662,7.1000,-55.3814,NaN,NaN,28.6050,0.6238,0.0833,0.0000,0.0000
99,3354.0000,4.3884,7.8500,-200.1796,NaN,NaN,15.9456,0.4715,0.0625,0.0000,0.0156
100,3352.0000,5.1671,7.0500,-108.4351,NaN,NaN,7.6997,0.2774,0.1111,0.0000,0.1111
101,3344.0000,5.3803,6.9000,-36.8919,NaN,NaN,52.2085,0.6207,0.0303,0.0000,0.0152
102,3339.0000,3.5010,7.2500,-65.9336,NaN,NaN,27.4411,0.6161,0.0769,0.0000,0.0513
103,3325.0000,5.9853,7.6000,-119.0676,NaN,NaN,8.5754,0.5897,0.0377,0.0000,0.0000
104,3319.0000,-0.5852,8.0000,0.0000,NaN,NaN,41.4262,NaN,0.1212,0.0385,0.0758
105,3294.0000,6.0484,7.5500,-105.6823,NaN,NaN,42.1046,0.5114,0.0721,0.0000,0.0090
106,3155.0000,-5.3701,6.9000,-289.2386,NaN,NaN,63.7461,0.4348,0.0000,0.0000,0.0000
107,3143.0000,3.8736,6.1500,-120.5455,NaN,NaN,2.7572,0.6080,0.0462,0.0000,0.0154
108,3121.0000,3.3176,6.7500,-183.2576,NaN,NaN,6.8281,0.6017,0.0732,0.0000,0.0488
109,3111.0000,4.5862,6.3000,-124.4976,NaN,NaN,8.3988,0.2747,0.0833,0.0000,0.0833
110,3111.0000,3.4277,6.6000,-146.5984,NaN,NaN,16.1497,0.4492,0.1000,0.0000,0.0400
111,3072.0000,6.9081,7.6000,0.0000,NaN,NaN,41.7283,NaN,0.0500,0.0000,0.0000
112,3069.0000,1.7084,8.2000,-25.4297,NaN,NaN,25.9714,0.6380,0.0211,0.0000,0.0000
113,3066.0000,3.3310,7.2000,-222.2183,NaN,NaN,43.4253,0.4825,0.1471,0.0000,0.0000
114,3062.0000,2.3620,6.2000,0.0000,NaN,NaN,70.6960,NaN,0.0633,0.0000,0.0253
115,3004.0000,4.8906,7.7000,0.0000,NaN,NaN,62.1343,NaN,0.0625,0.0000,0.0625
116,2995.0000,0.7187,7.9000,-79.8995,NaN,NaN,29.1939,0.5931,0.1324,0.0000,0.0147
117,2984.0000,0.6321,7.6000,-9.2302,NaN,NaN,49.9459,0.6260,0.0595,0.0000,0.0000
118,2954.0000,-33.3194,6.6000,-213.9698,NaN,NaN,28.9764,0.5698,0.0066,0.0000,0.0000
119,2935.0000,6.0471,6.8000,-235.1477,NaN,NaN,37.2155,0.4101,0.0769,0.0000,0.0385
120,2917.0000,5.8142,7.8500,-224.7755,NaN,NaN,52.1957,0.4620,0.0444,0.0000,0.0222
121,2915.0000,3.4669,6.6000,0.0000,NaN,NaN,42.5997,NaN,0.0571,0.0000,0.0286
122,2907.0000,5.7809,6.7500,-95.4595,NaN,NaN,39.0837,0.5267,0.1111,0.0000,0.0000
123,2891.0000,6.4995,6.7500,0.0000,NaN,NaN,34.4784,NaN,0.0244,0.0000,0.0000
124,2881.0000,2.6232,7.1500,-204.1026,NaN,NaN,18.7382,0.3382,0.1724,0.0000,0.0690
125,2867.0000,3.3609,7.2500,-69.6699,NaN,NaN,30.3869,0.6314,0.0455,0.0000,0.0303
126,2835.0000,4.8290,6.0500,-105.3779,NaN,NaN,79.9684,0.4362,0.0952,0.0000,0.0000
127,2824.0000,4.1839,6.5000,-102.7822,NaN,NaN,68.6067,0.5236,0.1176,0.0000,0.0588
128,2820.0000,3.0649,6.7500,0.0000,NaN,NaN,49.1028,NaN,0.1042,0.0000,0.0417
129,2812.0000,1.8537,6.0500,0.0000,NaN,NaN,47.8635,NaN,0.0758,0.0000,0.0303
130,2807.0000,0.6012,5.9500,-151.0126,NaN,NaN,47.6943,0.5037,0.0886,0.0000,0.0000
131,2803.0000,-0.3155,7.4500,-111.5846,NaN,NaN,12.7358,0.5965,0.0377,0.0000,0.0094
132,2797.0000,4.5986,7.2000,0.0000,NaN,NaN,9.1937,NaN,0.0192,0.0000,0.0192
133,2787.0000,3.6999,6.6000,-31.9930,NaN,NaN,75.9103,0.6177,0.0090,0.0000,0.0000
134,2786.0000,-1.0894,8.4500,-112.4415,NaN,NaN,13.0057,0.5922,0.0633,0.0000,0.0253
135,2757.0000,3.8439,7.4000,-21.2132,NaN,NaN,39.3667,0.6214,0.1364,0.0000,0.0909
136,2755.0000,2.7376,6.8000,-66.1519,NaN,NaN,20.5374,0.6291,0.0500,0.0000,0.0250
137,2751.0000,-1.6949,7.2000,-101.3072,NaN,NaN,24.0530,0.5444,0.0676,0.0000,0.0000
138,2747.0000,2.7741,6.9000,-99.1739,NaN,NaN,19.8419,0.6081,0.1136,0.0000,0.0455
139,2743.0000,5.7851,6.7000,0.0000,NaN,NaN,44.7495,NaN,0.0690,0.0000,0.0345
140,2729.0000,5.0973,7.5500,-41.9577,NaN,NaN,42.0230,0.6227,0.0769,0.0000,0.0769
141,2729.0000,5.3681,7.5500,0.0000,NaN,NaN,34.4096,NaN,0.0833,0.0000,0.0417
142,2720.0000,6.1182,6.8500,-62.1661,NaN,NaN,24.7359,0.6243,0.0500,0.0000,0.0500
143,2717.0000,-1.0543,7.2000,0.0000,NaN,NaN,47.8638,NaN,0.1014,0.0000,0.0000
144,2690.0000,5.4935,6.0000,-114.1172,NaN,NaN,34.8067,0.5544,0.0968,0.0000,0.0323
145,2682.0000,5.5761,7.1500,-153.3666,NaN,NaN,61.9830,0.4370,0.0571,0.0000,0.0286
146,2680.0000,6.9745,7.6000,0.0000,NaN,NaN,42.4738,NaN,0.1667,0.0000,0.0000
147,2677.0000,-5.5841,6.6000,-84.6633,NaN,NaN,43.1740,0.6139,0.0000,0.0000,0.0000
148,2661.0000,-8.9058,6.9000,0.0000,NaN,NaN,43.4740,NaN,0.0037,0.0000,0.0000
149,2653.0000,3.1037,6.9500,-76.7404,NaN,NaN,20.2984,0.6126,0.0056,0.0000,0.0000
150,2639.0000,3.3987,7.1500,-130.2895,NaN,NaN,40.2653,0.5447,0.0400,0.0000,0.0133
151,2632.0000,3.7539,6.8500,-149.3102,NaN,NaN,23.1085,0.5672,0.0417,0.0000,0.0208
152,2631.0000,-4.5250,7.8000,-395.2993,NaN,NaN,35.5032,0.3106,0.0392,0.0000,0.0000
153,2625.0000,3.4849,7.9000,-99.4657,NaN,NaN,42.2958,0.5497,0.0714,0.0000,0.0714
154,2599.0000,-11.2247,6.7000,-328.4809,NaN,NaN,9.0146,0.5357,0.0000,0.0000,0.0000
155,2578.0000,1.9591,7.5000,-288.1198,NaN,NaN,8.1564,0.4722,0.0217,0.0000,0.0109
156,2556.0000,6.3409,7.8500,0.0000,NaN,NaN,2.5791,NaN,0.0909,0.0000,0.0909
157,2553.0000,3.7042,7.0500,-32.3058,NaN,NaN,47.2980,0.6249,0.0233,0.0000,0.0000
158,2551.0000,4.7959,8.6500,-6.6859,NaN,NaN,51.5801,0.6336,0.0139,0.0000,0.0000
159,2550.0000,5.6946,7.7000,-95.2491,NaN,NaN,73.7630,0.5835,0.0800,0.0000,0.0400
160,2530.0000,4.5253,7.4000,-184.9702,NaN,NaN,29.5777,0.5606,0.0147,0.0000,0.0000
161,2526.0000,6.2653,6.6500,-111.8989,NaN,NaN,38.7685,0.4867,0.1176,0.0000,0.0000
162,2525.0000,3.6556,7.7000,-34.2427,NaN,NaN,8.9682,0.6591,0.1818,0.0000,0.1818
163,2514.0000,4.8081,7.8500,-89.9094,NaN,NaN,44.4052,0.5735,0.1176,0.0000,0.0294
164,2500.0000,3.6315,6.3500,-179.6917,NaN,NaN,18.9126,0.5520,0.1818,0.0000,0.0455
165,2474.0000,5.1280,7.4500,-134.1344,NaN,NaN,53.0728,0.5722,0.0092,0.0000,0.0000
166,2470.0000,6.3937,6.1000,0.0000,NaN,NaN,4.2637,NaN,0.1111,0.0000,0.1111
167,2429.0000,2.9799,7.4000,0.0000,NaN,NaN,29.5154,NaN,0.0612,0.0000,0.0204
168,2387.0000,5.4373,6.6000,-45.6569,NaN,NaN,52.8967,0.6133,0.0455,0.0000,0.0455
169,2380.0000,5.9172,7.8000,-64.6117,NaN,NaN,4.3535,0.6362,0.0556,0.0000,0.0556
170,2327.0000,1.9774,6.9000,-153.3532,NaN,NaN,38.4969,0.4815,0.0714,0.0000,0.0000
171,2321.0000,2.6779,7.3500,-20.4928,NaN,NaN,25.4720,0.6155,0.0308,0.0000,0.0000
172,2314.0000,-6.2517,6.7000,0.0000,NaN,NaN,56.6504,NaN,0.0048,0.0000,0.0000
173,2298.0000,5.3038,7.1500,0.0000,NaN,NaN,52.7901,NaN,0.0571,0.0000,0.0000
174,2223.0000,4.4947,7.2500,-11.4142,NaN,NaN,43.8645,0.6265,0.0217,0.0000,0.0217
175,2212.0000,5.8430,7.2500,-184.3788,NaN,NaN,3.9059,0.6124,0.1000,0.0000,0.0000
176,2208.0000,2.3668,7.4500,-27.6907,NaN,NaN,46.7006,0.6192,0.2857,0.0000,0.0714
177,2203.0000,6.0514,6.3000,-64.6117,NaN,NaN,62.3029,0.5883,0.0833,0.0000,0.0000
178,2198.0000,6.0631,6.4500,0.0000,NaN,NaN,25.1783,NaN,0.0556,0.0000,0.0000
179,2193.0000,3.7948,7.3500,0.0000,NaN,NaN,66.2988,NaN,0.0741,0.0000,0.0000
180,2187.0000,6.1256,6.9500,-13.8454,NaN,NaN,47.9568,0.6319,0.0000,0.0000,0.0000
181,2172.0000,1.4321,7.8500,-55.3814,NaN,NaN,21.2408,0.6138,0.0137,0.0000,0.0000
182,2172.0000,3.2980,7.3000,-64.1600,NaN,NaN,9.1474,0.6232,0.0597,0.0000,0.0000
183,2159.0000,5.4821,7.9500,-95.9789,NaN,NaN,28.2781,0.5748,0.0769,0.0000,0.0385
184,2132.0000,-12.4374,6.3000,-58.3903,NaN,NaN,30.3591,0.5920,0.0596,0.0000,0.0066
185,2129.0000,2.7212,6.4000,-150.7959,NaN,NaN,35.6724,0.3891,0.0732,0.0000,0.0244
186,2125.0000,-1.7394,6.6500,0.0000,NaN,NaN,22.8694,NaN,0.0000,0.0000,0.0000
187,2116.0000,-25.1178,7.0000,-293.1790,NaN,NaN,29.0420,0.4538,0.0872,0.0000,0.0092
188,2112.0000,2.2711,6.8000,-84.8529,NaN,NaN,7.8633,0.5927,0.1111,0.0000,0.0000
189,2099.0000,4.4453,7.2000,0.0000,NaN,NaN,18.2643,NaN,0.1667,0.0000,0.0833
190,2095.0000,-0.0838,6.2000,0.0000,NaN,NaN,54.0993,NaN,0.0800,0.0000,0.0133
191,2094.0000,5.6400,6.8500,-69.2268,NaN,NaN,72.2759,0.5770,0.3333,0.0000,0.0000
192,2085.0000,6.8446,7.0500,0.0000,NaN,NaN,60.2484,NaN,0.1111,0.0000,0.0000
193,2080.0000,4.6027,7.8000,-5.7071,NaN,NaN,48.2771,0.6314,0.0606,0.0000,0.0000
194,2073.0000,2.7074,7.5000,-197.4400,NaN,NaN,4.0840,0.5703,0.0000,0.0000,0.0000
195,2070.0000,3.1214,6.7500,-37.1231,NaN,NaN,36.4399,0.6172,0.0816,0.0000,0.0000
196,2063.0000,1.0212,6.5500,-98.2876,NaN,NaN,23.0602,0.5950,0.0093,0.0000,0.0000
197,2057.0000,-0.5197,7.5000,-77.7123,NaN,NaN,11.6568,0.6145,0.0769,0.0000,0.0385
198,2050.0000,4.8195,6.5500,-54.4280,NaN,NaN,14.5960,0.6431,0.0278,0.0000,0.0278
199,2037.0000,4.5335,7.2000,0.0000,NaN,NaN,50.9544,NaN,0.1111,0.0000,0.0556
200,2013.0000,-3.8252,7.1000,-15.1003,NaN,NaN,31.4017,0.6378,0.0093,0.0000,0.0093
201,2005.0000,3.5136,8.5500,-53.8767,NaN,NaN,21.8255,0.6308,0.0303,0.0000,0.0000
202,1985.0000,-10.6376,8.1000,-115.8996,NaN,NaN,9.4632,0.6069,0.0000,0.0000,0.0000
203,1981.0000,-4.6504,6.7500,-106.4196,NaN,NaN,32.5649,0.5802,0.1622,0.0000,0.0541
204,1964.0000,1.6413,7.6500,-142.8792,NaN,NaN,4.5164,0.5856,0.0241,0.0000,0.0000
205,1963.0000,-1.0708,6.8000,-38.3916,NaN,NaN,33.5615,0.6242,0.0000,0.0000,0.0000
206,1958.0000,3.6950,7.1000,-311.7800,NaN,NaN,9.4070,0.2637,0.1087,0.0000,0.0000
207,1951.0000,2.8672,7.0000,-182.5939,NaN,NaN,33.5404,0.5011,0.0615,0.0000,0.0000
208,1941.0000,-2.3232,7.4500,0.0000,NaN,NaN,26.0991,NaN,0.0510,0.0000,0.0102
209,1939.0000,-2.3047,7.0500,0.0000,NaN,NaN,49.7206,NaN,0.0682,0.0000,0.0000
210,1937.0000,6.1846,7.8000,0.0000,NaN,NaN,46.0122,NaN,0.2000,0.0000,0.0000
211,1934.0000,-1.3904,6.7000,0.0000,NaN,NaN,32.3135,NaN,0.0000,0.0000,0.0000
