Topic,tokens,document_entropy,word-length,coherence,uniform_dist,corpus_dist,eff_num_words,token-doc-diff,rank_1_docs,allocation_ratio,allocation_count
0,90138.0000,7.3140,5.8500,-401.8680,NaN,NaN,650.7160,0.0074,0.2633,0.0000,0.0000
1,19489.0000,6.2085,4.3000,-458.3603,NaN,NaN,359.2168,0.0029,0.1743,0.0000,0.0000
2,14525.0000,5.9506,6.2000,-431.4499,NaN,NaN,154.9115,0.0167,0.2146,0.0000,0.0000
3,10231.0000,5.1876,6.4000,-310.8126,NaN,NaN,65.2120,0.0268,0.1864,0.0000,0.0000
4,9716.0000,4.6411,5.5000,-190.7844,NaN,NaN,130.5355,0.0153,0.6268,0.0000,0.0000
5,7964.0000,5.3417,6.3000,-360.5025,NaN,NaN,138.6109,0.0079,0.1801,0.0000,0.0000
6,6690.0000,5.0168,7.6500,-320.8841,NaN,NaN,93.9500,0.0189,0.1281,0.0000,0.0000
7,6346.0000,4.9166,7.1500,-308.2757,NaN,NaN,85.9882,0.0027,0.1606,0.0000,0.0000
8,6051.0000,4.9312,5.8500,-337.0366,NaN,NaN,99.0218,0.0094,0.1929,0.0000,0.0000
9,4879.0000,4.8126,7.1000,-447.6527,NaN,NaN,69.2642,0.0165,0.0800,0.0000,0.0000
10,4555.0000,4.8458,5.8000,-556.5945,NaN,NaN,66.2654,0.0075,0.0769,0.0000,0.0000
11,4482.0000,4.7483,7.4000,-498.0340,NaN,NaN,120.7246,0.0064,0.1689,0.0000,0.0000
12,3280.0000,4.5077,7.2000,-683.9538,NaN,NaN,23.9097,0.0214,0.0500,0.0000,0.0000
13,3245.0000,4.0722,5.7000,-266.5751,NaN,NaN,46.6792,0.0163,0.1414,0.0000,0.0000
14,2972.0000,3.8182,7.3500,-291.3590,NaN,NaN,45.8146,0.0123,0.2174,0.0000,0.0000
15,2937.0000,4.1226,6.5000,-280.7106,NaN,NaN,56.8152,0.0140,0.0645,0.0000,0.0000
16,2867.0000,4.1406,7.2500,-339.8190,NaN,NaN,48.8178,0.0176,0.0769,0.0000,0.0000
17,2830.0000,4.5237,5.4500,-575.3247,NaN,NaN,67.3481,0.0103,0.0703,0.0000,0.0000
18,2741.0000,4.3143,5.9500,-322.9105,NaN,NaN,81.3377,0.0146,0.0762,0.0000,0.0000
19,2694.0000,4.3877,7.2500,-573.5733,NaN,NaN,80.2694,0.0214,0.0196,0.0000,0.0000
20,2680.0000,4.4063,6.0500,-587.4778,NaN,NaN,68.5946,0.0107,0.2190,0.0000,0.0000
21,2565.0000,3.9644,5.9500,-259.9415,NaN,NaN,82.7190,0.0148,0.0988,0.0000,0.0000
22,2546.0000,4.0294,6.8500,-333.0604,NaN,NaN,30.9705,0.0336,0.0930,0.0000,0.0000
23,2476.0000,4.4247,6.9000,-440.2861,NaN,NaN,73.2499,0.0221,0.1019,0.0000,0.0000
24,2451.0000,2.9800,5.8000,-89.3355,NaN,NaN,52.6868,0.0365,0.6774,0.0000,0.0000
25,2391.0000,3.2084,6.5000,-116.9769,NaN,NaN,114.8960,0.0239,0.2708,0.0000,0.0000
26,2331.0000,3.7687,6.1500,-277.4257,NaN,NaN,45.4992,0.0115,0.1818,0.0000,0.0000
27,2296.0000,4.2607,5.9500,-478.7697,NaN,NaN,62.3786,0.0108,0.0583,0.0000,0.0000
28,2289.0000,3.8459,7.1500,-357.1255,NaN,NaN,33.7131,0.0267,0.2000,0.0000,0.0000
29,2119.0000,4.4367,6.4500,-824.7217,NaN,NaN,59.2315,0.0289,0.0351,0.0000,0.0000
30,2111.0000,3.8349,6.7500,-507.2055,NaN,NaN,43.2657,0.0181,0.1765,0.0000,0.0000
31,2015.0000,4.0498,6.7500,-427.9602,NaN,NaN,89.5368,0.0144,0.1667,0.0000,0.0000
32,2011.0000,3.8508,5.9500,-270.6409,NaN,NaN,109.1796,0.0159,0.2162,0.0000,0.0000
33,1827.0000,3.4149,6.7000,-183.7585,NaN,NaN,73.5049,0.0151,0.1961,0.0000,0.0000
34,1675.0000,3.2767,5.7500,-352.3581,NaN,NaN,63.2995,0.0211,0.2143,0.0000,0.0000
35,1671.0000,4.1887,5.1500,-420.3172,NaN,NaN,102.8260,0.0369,0.0521,0.0000,0.0000
36,1646.0000,3.2612,6.9000,-358.4628,NaN,NaN,72.7372,0.0174,0.4444,0.0000,0.0000
37,1637.0000,3.4019,7.1500,-259.8186,NaN,NaN,71.3369,0.0142,0.1591,0.0000,0.0000
38,1631.0000,3.3628,6.6000,-557.5246,NaN,NaN,16.9710,0.0315,0.2174,0.0000,0.0000
39,1623.0000,4.1661,6.9000,-679.7848,NaN,NaN,27.8705,0.0186,0.0460,NaN,0.0000
40,1563.0000,3.9267,5.7000,-678.6459,NaN,NaN,107.2371,0.0228,0.2222,NaN,0.0000
41,1514.0000,3.8083,7.5500,-658.1776,NaN,NaN,41.6566,0.0260,0.0735,0.0000,0.0000
42,1512.0000,3.0550,6.9500,-264.2651,NaN,NaN,60.3682,0.0075,0.3000,0.0000,0.0000
43,1497.0000,3.2151,5.5500,-380.8198,NaN,NaN,57.1380,0.0108,0.2093,0.0000,0.0000
44,1438.0000,3.6839,5.2000,-628.2995,NaN,NaN,67.5016,0.0270,0.2679,0.0000,0.0000
45,1372.0000,2.9381,6.2500,-423.0134,NaN,NaN,71.7919,0.0134,0.4000,0.0000,0.0000
46,1365.0000,2.3690,6.8500,-179.2054,NaN,NaN,65.9946,0.0202,0.6429,0.0000,0.0000
47,1360.0000,3.6378,7.8500,-572.0058,NaN,NaN,48.5205,0.0194,0.0909,0.0000,0.0000
48,1334.0000,3.7666,7.0000,-577.6959,NaN,NaN,65.7877,0.0279,0.0536,0.0000,0.0000
49,1312.0000,3.7267,6.2500,-618.5700,NaN,NaN,54.4453,0.0312,0.0714,0.0000,0.0000
50,1299.0000,4.2241,5.4000,-906.3625,NaN,NaN,28.2689,0.0233,0.0235,NaN,0.0000
51,1282.0000,3.9199,6.4000,-746.3067,NaN,NaN,60.6019,0.0219,0.0299,0.0000,0.0000
52,1241.0000,3.6268,6.5500,-714.6360,NaN,NaN,43.6494,0.0187,0.0816,0.0000,0.0000
53,1217.0000,3.1522,6.4000,-353.5581,NaN,NaN,28.8133,0.0322,0.1316,0.0000,0.0000
54,1196.0000,3.5136,5.4000,-580.1031,NaN,NaN,44.6280,0.0436,0.0784,0.0000,0.0000
55,1168.0000,4.0118,7.1000,-838.2010,NaN,NaN,64.0421,0.0325,0.0704,NaN,0.0000
56,1123.0000,2.9234,7.5500,-277.4080,NaN,NaN,35.4339,0.0401,0.1290,0.0000,0.0000
57,1115.0000,2.9283,6.0000,-433.2710,NaN,NaN,82.9979,0.0160,0.4400,0.0000,0.0000
58,1079.0000,3.0762,7.2000,-557.8537,NaN,NaN,56.2354,0.0143,0.2222,0.0000,0.0000
59,1069.0000,2.9281,5.7000,-315.1017,NaN,NaN,29.6921,0.0287,0.2500,0.0000,0.0000
60,1058.0000,2.8163,5.8500,-302.3421,NaN,NaN,28.2796,0.0314,0.3750,0.0000,0.0000
61,1029.0000,2.5447,6.4000,-377.0907,NaN,NaN,46.6717,0.0363,0.4444,0.0000,0.0000
62,1026.0000,3.5424,6.3500,-747.8935,NaN,NaN,16.9836,0.0313,0.0930,NaN,0.0000
63,1021.0000,3.2480,6.4000,-472.6451,NaN,NaN,63.7774,0.0288,0.0270,0.0000,0.0000
64,1018.0000,2.5921,7.6000,-322.8365,NaN,NaN,78.2249,0.0139,0.1739,0.0000,0.0000
65,1005.0000,3.9268,5.7000,-745.6309,NaN,NaN,32.7409,0.0292,0.0417,NaN,0.0000
66,1000.0000,3.0522,7.1500,-458.2545,NaN,NaN,15.5366,0.0589,0.0667,0.0000,0.0000
67,979.0000,2.6582,7.2500,-414.7029,NaN,NaN,60.5497,0.0234,0.1923,0.0000,0.0000
68,978.0000,3.0297,6.0500,-241.5388,NaN,NaN,28.5722,0.0200,0.2353,0.0000,0.0000
69,971.0000,2.9916,5.7000,-574.2880,NaN,NaN,42.9364,0.0257,0.2500,0.0000,0.0000
70,960.0000,3.1876,5.3500,-718.8786,NaN,NaN,92.3447,0.0122,0.2258,0.0000,0.0000
71,951.0000,2.5794,6.3000,-338.9728,NaN,NaN,64.9573,0.0198,0.4000,0.0000,0.0000
72,945.0000,3.2727,7.0500,-572.8389,NaN,NaN,32.9104,0.0287,0.0769,0.0000,0.0000
73,916.0000,2.6017,6.8000,-561.5826,NaN,NaN,55.5372,0.0282,0.1364,0.0000,0.0000
74,904.0000,3.4148,7.2000,-659.3882,NaN,NaN,40.8445,0.0270,0.0732,0.0000,0.0000
75,899.0000,3.4691,7.0000,-701.0993,NaN,NaN,35.8802,0.0305,0.0732,0.0000,0.0000
76,898.0000,2.7026,6.9500,-296.0388,NaN,NaN,51.4682,0.0272,0.2800,0.0000,0.0000
77,893.0000,3.3853,5.8500,-783.6206,NaN,NaN,38.2892,0.0180,0.0976,0.0000,0.0000
78,884.0000,2.8421,5.4000,-455.7772,NaN,NaN,42.5305,0.0336,0.1000,0.0000,0.0000
79,879.0000,2.9718,5.9500,-539.5985,NaN,NaN,44.4072,0.0203,0.2500,0.0000,0.0000
80,878.0000,2.9902,6.2000,-597.2908,NaN,NaN,87.2831,0.0346,0.2581,0.0000,0.0000
81,869.0000,2.8226,8.2000,-421.8335,NaN,NaN,32.4898,0.0339,0.1071,0.0000,0.0000
82,867.0000,2.9440,6.8500,-523.0456,NaN,NaN,24.5081,0.0334,0.1600,0.0000,0.0000
83,860.0000,2.5371,5.3000,-502.0373,NaN,NaN,69.3028,0.0378,0.2500,0.0000,0.0000
84,849.0000,3.1936,6.9500,-595.3860,NaN,NaN,48.6469,0.0189,0.1176,0.0000,0.0000
85,846.0000,2.0315,6.8000,-301.4921,NaN,NaN,66.0864,0.0237,0.4167,0.0000,0.0000
86,824.0000,2.1745,7.1500,-345.3486,NaN,NaN,59.4550,0.0148,0.2667,0.0000,0.0000
87,811.0000,3.0273,7.0000,-388.3768,NaN,NaN,50.8639,0.0177,0.2963,0.0000,0.0000
88,800.0000,3.4142,7.2500,-740.1656,NaN,NaN,49.8287,0.0365,0.1000,NaN,0.0000
89,797.0000,1.6404,7.0500,-126.7344,NaN,NaN,58.7667,0.0269,0.4444,0.0000,0.0000
90,762.0000,3.2567,6.1000,-791.2622,NaN,NaN,23.9461,0.0198,0.0000,NaN,0.0000
91,755.0000,2.4610,6.5500,-390.0982,NaN,NaN,37.5436,0.0441,0.2105,0.0000,0.0000
92,750.0000,2.0019,7.3000,-195.5667,NaN,NaN,56.1601,0.0252,0.2500,0.0000,0.0000
93,733.0000,2.7753,7.5000,-446.8246,NaN,NaN,38.8580,0.0293,0.1818,0.0000,0.0000
94,719.0000,2.8924,6.1000,-424.3313,NaN,NaN,52.3717,0.0250,0.1034,0.0000,0.0000
95,717.0000,2.7603,6.7500,-470.9953,NaN,NaN,44.3754,0.0373,0.0909,0.0000,0.0000
96,701.0000,2.9935,7.3500,-748.9395,NaN,NaN,60.0074,0.0123,0.1034,0.0000,0.0000
97,676.0000,3.0723,6.5000,-587.4008,NaN,NaN,55.9060,0.0439,0.0968,0.0000,0.0000
98,673.0000,2.7624,6.9500,-463.8486,NaN,NaN,33.3994,0.0371,0.0455,0.0000,0.0000
99,673.0000,2.4564,5.7500,-366.3332,NaN,NaN,57.5148,0.0230,0.1818,0.0000,0.0000
100,665.0000,2.5042,7.3000,-477.4964,NaN,NaN,44.1034,0.0338,0.1500,0.0000,0.0000
101,654.0000,2.7418,6.6500,-599.2391,NaN,NaN,42.3481,0.0325,0.1600,0.0000,0.0000
102,652.0000,2.4866,5.4500,-474.9739,NaN,NaN,31.9339,0.0447,0.1579,0.0000,0.0000
103,635.0000,2.2212,7.1500,-476.5169,NaN,NaN,40.9990,0.0364,0.0833,0.0000,0.0000
104,633.0000,2.4957,5.6500,-453.0334,NaN,NaN,28.2873,0.0488,0.0952,0.0000,0.0000
105,627.0000,1.9471,5.6500,-267.6759,NaN,NaN,94.4341,0.0288,0.2308,0.0000,0.0000
106,622.0000,2.0229,7.4000,-622.3750,NaN,NaN,48.4696,0.0271,0.2308,0.0000,0.0000
107,614.0000,2.0467,6.2500,-404.2113,NaN,NaN,34.1791,0.0492,0.2500,0.0000,0.0000
108,611.0000,1.8807,6.2500,-484.0032,NaN,NaN,62.7536,0.0317,0.5455,0.0000,0.0000
109,611.0000,2.3231,6.6500,-509.3733,NaN,NaN,58.3405,0.0373,0.0625,0.0000,0.0000
110,608.0000,2.2400,6.6000,-446.2493,NaN,NaN,35.1325,0.0396,0.1333,0.0000,0.0000
111,600.0000,2.7824,7.7500,-675.5607,NaN,NaN,45.5235,0.0814,0.0500,0.0000,0.0000
