Topic,tokens,document_entropy,word-length,coherence,uniform_dist,corpus_dist,eff_num_words,token-doc-diff,rank_1_docs,allocation_ratio,allocation_count
0,108035.0000,10.7735,6.8000,-568.2854,NaN,NaN,258.1659,0.1458,0.2333,0.0000,0.0148
1,61295.0000,7.6547,7.0500,-287.6514,NaN,NaN,142.9910,0.0027,0.2492,0.0000,0.0055
2,28319.0000,9.7406,7.8500,-403.7567,NaN,NaN,169.1988,0.3671,0.2987,0.0000,0.0303
3,20958.0000,9.2555,6.9500,-337.7655,NaN,NaN,89.8582,0.3943,0.2113,0.0000,0.0226
4,20416.0000,9.5535,7.3500,-437.0134,NaN,NaN,66.1105,0.3088,0.1371,0.0000,0.0403
5,11759.0000,8.5990,8.0500,-9.2302,NaN,NaN,93.0919,0.6278,0.0912,0.0000,0.0000
6,9809.0000,8.2840,8.2500,0.0000,NaN,NaN,34.5836,NaN,0.1078,0.0000,0.0049
7,9138.0000,7.7802,6.9500,-156.6450,NaN,NaN,55.8075,0.5265,0.2356,0.0000,0.0115
8,8331.0000,7.1387,7.1000,-319.1698,NaN,NaN,79.1527,0.4217,0.2881,0.0000,0.0254
9,7102.0000,8.2789,6.3500,-49.6364,NaN,NaN,10.3173,0.6548,0.1333,0.0000,0.0267
10,7075.0000,8.5745,7.0500,0.0000,NaN,NaN,20.3487,NaN,0.1395,0.0000,0.0000
11,6880.0000,7.5074,7.7000,-71.1124,NaN,NaN,93.9857,0.6143,0.2118,0.0000,0.0148
12,6807.0000,6.5931,6.0500,-12.7972,NaN,NaN,42.1109,0.6269,0.2392,0.0000,0.0314
13,5641.0000,7.9679,6.6000,0.0000,NaN,NaN,61.2759,NaN,0.0267,0.0000,0.0000
14,5521.0000,8.1361,7.3000,-62.7782,NaN,NaN,63.0933,0.6183,0.0946,0.0000,0.0000
15,4924.0000,8.3451,6.8500,0.0000,NaN,NaN,73.6385,0.6330,0.0000,0.0000,0.0000
16,4685.0000,-5.5971,5.7500,-214.3624,NaN,NaN,37.7806,0.5448,0.1670,0.0000,0.0094
17,4659.0000,7.8290,7.1000,-159.3005,NaN,NaN,25.0137,0.5309,0.0759,0.0000,0.0000
18,4499.0000,6.2992,6.2000,0.0000,NaN,NaN,15.6972,NaN,0.1165,0.0000,0.0000
19,4460.0000,5.8751,5.6000,0.0000,NaN,NaN,33.1263,NaN,0.2500,0.0000,0.0109
20,4436.0000,2.8752,6.9000,-219.7002,NaN,NaN,53.5511,0.5101,0.2961,0.0000,0.0362
21,4383.0000,-70.2784,5.4500,-730.4651,NaN,NaN,18.9558,0.3953,0.1939,0.0000,0.0027
22,4287.0000,2.4601,7.5000,-269.5428,NaN,NaN,63.1223,0.4928,0.3986,0.0000,0.0245
23,4249.0000,8.1540,7.1000,0.0000,NaN,NaN,27.4809,NaN,0.0541,0.0000,0.0000
24,4186.0000,4.8727,4.8500,-135.7358,NaN,NaN,44.5073,0.5294,0.1941,0.0000,0.0295
25,3751.0000,6.8283,6.9000,-91.5088,NaN,NaN,54.3203,0.6013,0.1262,0.0000,0.0000
26,3690.0000,7.3012,6.9000,-76.0114,NaN,NaN,45.9311,0.5765,0.1159,0.0000,0.0145
27,3671.0000,2.7584,7.4000,0.0000,NaN,NaN,32.9003,0.6388,0.1032,0.0000,0.0053
28,3659.0000,6.9889,7.2500,-137.8657,NaN,NaN,12.1981,0.5615,0.0870,0.0000,0.0000
29,3649.0000,7.0127,7.0000,0.0000,NaN,NaN,41.9796,NaN,0.1200,0.0000,0.0100
30,3466.0000,4.7354,4.0500,-222.9120,NaN,NaN,5.6361,0.5795,0.1455,0.0000,0.0188
31,3449.0000,5.7383,6.3000,-167.4520,NaN,NaN,77.6085,0.5333,0.0697,0.0000,0.0000
32,3315.0000,5.7519,6.8500,0.0000,NaN,NaN,65.4881,NaN,0.2373,0.0000,0.0169
33,3312.0000,6.3575,6.4000,-40.5099,NaN,NaN,17.3249,0.6401,0.1719,0.0000,0.0000
34,3214.0000,6.7416,8.1000,0.0000,NaN,NaN,31.8237,NaN,0.0345,0.0000,0.0000
35,3203.0000,7.1842,5.8000,0.0000,NaN,NaN,33.6587,NaN,0.0986,0.0000,0.0000
36,3190.0000,3.7262,6.8000,-208.1323,NaN,NaN,11.1745,0.5637,0.2391,0.0000,0.0217
37,3136.0000,2.5980,7.9500,-221.7797,NaN,NaN,89.1937,0.5096,0.2132,0.0000,0.0581
38,3119.0000,5.6825,5.8000,0.0000,NaN,NaN,44.6334,NaN,0.1194,0.0000,0.0000
39,3105.0000,6.1329,7.9000,0.0000,NaN,NaN,15.9209,NaN,0.2289,0.0000,0.0241
40,3049.0000,4.2016,8.0500,-642.6518,NaN,NaN,74.6369,0.2596,0.2115,0.0000,0.0385
41,3042.0000,7.1031,7.0500,0.0000,NaN,NaN,36.5819,NaN,0.0313,0.0000,0.0000
42,3021.0000,3.5495,6.9500,-202.1679,NaN,NaN,13.3326,0.5417,0.1636,0.0000,0.0036
43,2931.0000,7.9227,6.1500,0.0000,NaN,NaN,25.1653,NaN,0.0000,0.0000,0.0000
44,2906.0000,-1.7625,7.4000,-144.6601,NaN,NaN,96.3450,0.5342,0.1383,0.0000,0.0000
45,2896.0000,6.1703,6.9500,0.0000,NaN,NaN,22.3203,NaN,0.1856,0.0000,0.0619
46,2830.0000,7.6049,5.8500,0.0000,NaN,NaN,31.3450,NaN,0.0882,0.0000,0.0000
47,2586.0000,4.8445,5.6000,0.0000,NaN,NaN,40.4600,NaN,0.1575,0.0000,0.0000
