iteration	timestamp	zTotalTime	phiTotalTime	typeTokenDensity	documentDensity	z-0	countUpdate-0	phiDensity
0	1601296264840	0	0	0.001	0.0	0	0	0.9890564037319762
100	1601296276043	18	7	0.0010572519083969466	0.0010806890299184043	7	10	0.9890039581566299
200	1601296286512	17	8	0.001248091603053435	0.001471441523118767	7	9	0.9888908679672038
300	1601296297262	16	19	0.0015456601639807746	0.0022497733454215777	7	9	0.9886280746395251
400	1601296307862	18	10	0.0018712185467910658	0.003315503173164098	8	10	0.9883456318914334
500	1601296318870	20	8	0.0020870794458580717	0.0042864913871260195	8	12	0.9880590896239752
600	1601296330003	19	21	0.0022007350862312696	0.005103807796917498	8	11	0.987912213740458
700	1601296340839	27	10	0.002269296013570823	0.005618766999093382	17	10	0.9879081142210914
800	1601296352136	21	8	0.0023322024314390726	0.005971441523118767	9	11	0.9877217981340118
900	1601296362483	20	11	0.002371077184054283	0.006219854941069809	8	12	0.9878006785411365
1000	1601296373028	20	12	0.002415323720667232	0.006412964641885766	9	10	0.9877283008199039
1100	1601296383514	17	19	0.002460559796437659	0.006549864007252946	8	9	0.987713881820752
1200	1601296394508	31	13	0.002478512864009047	0.006738893925657298	19	11	0.9877004523607577
1300	1601296405620	21	11	0.0025131467345207805	0.006791024478694469	10	11	0.9876607294317218
1400	1601296416931	26	20	0.002541419281877297	0.006861287398005439	10	16	0.9876082838563754
1500	1601296427965	22	11	0.0025654509471303363	0.006947416137805984	10	12	0.9876306191687871
1600	1601296438923	22	10	0.0025976816511167657	0.0071106074342701725	10	12	0.9875986711902742
1700	1601296450318	22	10	0.0026023466214305908	0.007181323662737988	10	11	0.9876034775233249
1800	1601296461585	21	11	0.0026252473847893695	0.007179510426110607	10	11	0.9875783149561775
1900	1601296472935	21	9	0.002629912355103195	0.00729374433363554	10	11	0.9876006502685892
2000	1601296484331	21	9	0.002652530392988408	0.0072556663644605624	11	10	0.9875496183206107
2100	1601296495888	20	13	0.002668928470455188	0.007257479601087942	9	11	0.9875226180378852
2200	1601296507340	21	18	0.0026686457449816227	0.00729283771532185	11	10	0.9875971162001697
2300	1601296518640	18	8	0.0026644048628781452	0.0072556663644605624	9	9	0.9875388747526153
2400	1601296530026	22	8	0.0026969182923381398	0.00729102447869447	10	12	0.9875600791631326
2500	1601296541582	29	11	0.002690698331919706	0.007354941069809611	18	11	0.9875657336726039
2600	1601296553120	19	19	0.002702996890019791	0.007397552130553037	10	9	0.9875001413627368
2700	1601296564636	21	9	0.0026973423805484874	0.007408431550317316	9	12	0.9875504664970314
2800	1601296576271	20	12	0.002726039016115352	0.007422937443336356	9	10	0.987507774950523
2900	1601296587710	19	11	0.002730562623692395	0.007442883046237535	9	10	0.9874619734238055
3000	1601296599333	33	8	0.0027292903590613515	0.007467361740707162	19	14	0.9874936386768448
3100	1601296610819	18	18	0.002730562623692395	0.007468268359020853	9	9	0.9875576759966073
3200	1601296622294	21	12	0.0027448402601074357	0.00749365367180417	10	11	0.9874311563471869
3300	1601296633743	20	9	0.0027346621430590894	0.007517679057116954	10	10	0.987570257280181
3400	1601296645417	20	10	0.002755301102629347	0.007603807796917498	10	10	0.9875296861747244
3500	1601296657000	19	9	0.0027601074356799547	0.007559836808703536	9	10	0.9875234662143059
3600	1601296668553	20	9	0.002758552445575346	0.007531278331822303	10	9	0.9875255866553576
3700	1601296680019	22	12	0.002791631325982471	0.0075435176790571165	11	11	0.9874475544246537
3800	1601296691601	21	12	0.0027684478371501273	0.007593381686310064	10	11	0.9873980774667798
3900	1601296703275	23	11	0.0028138252756573366	0.007611514052583862	10	12	0.9874001979078315
4000	1601296714722	20	10	0.0027750918857789085	0.007618766999093381	9	11	0.987464235227594
4100	1601296726284	21	10	0.00280689850155499	0.007589755213055303	10	11	0.9874926491376873
